math_score,reading_score,writing_score,placement_score,club_join_year,placement_offer_count
75,77,73,70,77,76
79,73,69,74,76,78
77,71,78,72,67,61
80,71,78,61,77,76
71,65,60,60,67,69
65,80,63,65,73,75
67,75,65,66,74,70
73,60,70,72,74,76
66,73,67,70,66,78
76,72,66,73,71,72
67,77,62,69,74,72
80,73,61,66,66,60
72,75,60,77,61,74
66,62,78,60,67,70
76,66,74,62,67,64
62,69,73,72,72,71
60,77,62,79,80,78
74,78,71,79,73,75
77,68,72,62,63,78
76,69,77,78,76,73
60,70,65,80,79,66
74,69,67,62,67,73
76,72,70,61,64,80
73,71,79,61,80,76
64,67,62,71,68,65
79,69,61,73,61,79
74,79,78,76,71,76
63,60,79,75,74,75
60,70,71,71,71,77
